IMG\center_2025_03_12_09_46_22_954.jpg,IMG\left_2025_03_12_09_46_22_954.jpg,IMG\right_2025_03_12_09_46_22_954.jpg,0,0,0,4.70E-06
IMG\center_2025_03_12_09_46_23_038.jpg,IMG\left_2025_03_12_09_46_23_038.jpg,IMG\right_2025_03_12_09_46_23_038.jpg,0,0,0,1.43E-05
IMG\center_2025_03_12_09_46_23_117.jpg,IMG\left_2025_03_12_09_46_23_117.jpg,IMG\right_2025_03_12_09_46_23_117.jpg,0,0,0,4.73E-06
IMG\center_2025_03_12_09_46_23_200.jpg,IMG\left_2025_03_12_09_46_23_200.jpg,IMG\right_2025_03_12_09_46_23_200.jpg,0,0,0,1.07E-05
IMG\center_2025_03_12_09_46_23_279.jpg,IMG\left_2025_03_12_09_46_23_279.jpg,IMG\right_2025_03_12_09_46_23_279.jpg,0,0,0,2.49E-06
IMG\center_2025_03_12_09_46_23_358.jpg,IMG\left_2025_03_12_09_46_23_358.jpg,IMG\right_2025_03_12_09_46_23_358.jpg,0,0,0,1.15E-05
IMG\center_2025_03_12_09_46_23_437.jpg,IMG\left_2025_03_12_09_46_23_437.jpg,IMG\right_2025_03_12_09_46_23_437.jpg,0,0,0,1.94E-05
IMG\center_2025_03_12_09_46_23_518.jpg,IMG\left_2025_03_12_09_46_23_518.jpg,IMG\right_2025_03_12_09_46_23_518.jpg,0,0,0,2.11E-06
IMG\center_2025_03_12_09_46_23_599.jpg,IMG\left_2025_03_12_09_46_23_599.jpg,IMG\right_2025_03_12_09_46_23_599.jpg,0,0,0,2.84E-06
IMG\center_2025_03_12_09_46_23_680.jpg,IMG\left_2025_03_12_09_46_23_680.jpg,IMG\right_2025_03_12_09_46_23_680.jpg,0,0,0,6.42E-06
IMG\center_2025_03_12_09_46_23_751.jpg,IMG\left_2025_03_12_09_46_23_751.jpg,IMG\right_2025_03_12_09_46_23_751.jpg,0,0,0,7.52E-06
